Instrument,SessionContext,TotalBars,State,RunLength,SurvivalCount,ExitCount,HazardProbability
ES,ETH,50,Unknown,1,1,0,0.00
ES,ETH,50,Unknown,2,1,0,0.00
ES,ETH,50,Unknown,3,1,0,0.00
ES,ETH,50,Unknown,4,1,0,0.00
ES,ETH,50,Unknown,5,1,1,100.00
ES,ETH,50,Unresolved,1,8,3,37.50
ES,ETH,50,Unresolved,2,5,1,20.00
ES,ETH,50,Unresolved,3,4,1,25.00
ES,ETH,50,Unresolved,4,3,0,0.00
ES,ETH,50,Unresolved,5,3,1,33.33
ES,ETH,50,Unresolved,6,1,0,0.00
ES,ETH,50,Unresolved,7,1,0,0.00
ES,ETH,50,Unresolved,8,1,0,0.00
ES,ETH,50,Unresolved,9,1,1,100.00
ES,ETH,50,Directional,1,2,1,50.00
ES,ETH,50,Directional,2,1,0,0.00
ES,ETH,50,Directional,3,1,0,0.00
ES,ETH,50,Directional,4,1,0,0.00
ES,ETH,50,Directional,5,1,0,0.00
ES,ETH,50,Directional,6,1,0,0.00
ES,ETH,50,Directional,7,1,1,100.00
ES,ETH,50,Degrading,1,2,1,50.00
ES,ETH,50,Degrading,2,1,1,100.00
ES,ETH,50,Balance,1,4,3,75.00
ES,ETH,50,Balance,2,1,0,0.00
ES,ETH,50,Balance,3,1,1,100.00
ES,ETH,100,Unknown,1,1,0,0.00
ES,ETH,100,Unknown,2,1,0,0.00
ES,ETH,100,Unknown,3,1,0,0.00
ES,ETH,100,Unknown,4,1,0,0.00
ES,ETH,100,Unknown,5,1,1,100.00
ES,ETH,100,Unresolved,1,8,3,37.50
ES,ETH,100,Unresolved,2,5,1,20.00
ES,ETH,100,Unresolved,3,4,1,25.00
ES,ETH,100,Unresolved,4,3,0,0.00
ES,ETH,100,Unresolved,5,3,1,33.33
ES,ETH,100,Unresolved,6,2,0,0.00
ES,ETH,100,Unresolved,7,2,0,0.00
ES,ETH,100,Unresolved,8,2,0,0.00
ES,ETH,100,Unresolved,9,2,1,50.00
ES,ETH,100,Directional,1,3,2,66.67
ES,ETH,100,Directional,2,1,0,0.00
ES,ETH,100,Directional,3,1,0,0.00
ES,ETH,100,Directional,4,1,0,0.00
ES,ETH,100,Directional,5,1,0,0.00
ES,ETH,100,Directional,6,1,0,0.00
ES,ETH,100,Directional,7,1,1,100.00
ES,ETH,100,Degrading,1,2,1,50.00
ES,ETH,100,Degrading,2,1,1,100.00
ES,ETH,100,Balance,1,4,3,75.00
ES,ETH,100,Balance,2,1,0,0.00
ES,ETH,100,Balance,3,1,1,100.00
ES,ETH,100,Unresolved,10,1,0,0.00
ES,ETH,100,Unresolved,11,1,0,0.00
ES,ETH,100,Unresolved,12,1,0,0.00
ES,ETH,100,Unresolved,13,1,0,0.00
ES,ETH,100,Unresolved,14,1,0,0.00
ES,ETH,100,Unresolved,15,1,0,0.00
ES,ETH,100,Unresolved,16,1,0,0.00
ES,ETH,100,Unresolved,17,1,0,0.00
ES,ETH,100,Unresolved,18,1,0,0.00
ES,ETH,100,Unresolved,19,1,0,0.00
ES,ETH,100,Unresolved,20,1,0,0.00
ES,ETH,100,Unresolved,21,1,0,0.00
ES,ETH,100,Unresolved,22,1,0,0.00
ES,ETH,100,Unresolved,23,1,0,0.00
ES,ETH,100,Unresolved,24,1,0,0.00
ES,ETH,100,Unresolved,25,1,0,0.00
ES,ETH,100,Unresolved,26,1,0,0.00
ES,ETH,100,Unresolved,27,1,0,0.00
ES,ETH,100,Unresolved,28,1,0,0.00
ES,ETH,100,Unresolved,29,1,0,0.00
ES,ETH,100,Unresolved,30,1,0,0.00
ES,ETH,100,Unresolved,31,1,0,0.00
ES,ETH,100,Unresolved,32,1,0,0.00
